Species,longitude,latitude
"Ceropegia sahyadrica var. karulensis (Punekar, Tamhankar, Lakshmin., Kumaran, Raut, S.K. Srivast. & Kavade) Kambale & S.R. Yadav",73.823995,16.506338
"Ceropegia sahyadrica var. karulensis (Punekar, Tamhankar, Lakshmin., Kumaran, Raut, S.K. Srivast. & Kavade) Kambale & S.R. Yadav",73.84617,16.487166
"Ceropegia sahyadrica var. karulensis (Punekar, Tamhankar, Lakshmin., Kumaran, Raut, S.K. Srivast. & Kavade) Kambale & S.R. Yadav",73.87045,16.474772
"Ceropegia sahyadrica var. karulensis (Punekar, Tamhankar, Lakshmin., Kumaran, Raut, S.K. Srivast. & Kavade) Kambale & S.R. Yadav",73.828115,16.47758
"Ceropegia sahyadrica var. karulensis (Punekar, Tamhankar, Lakshmin., Kumaran, Raut, S.K. Srivast. & Kavade) Kambale & S.R. Yadav",73.842829,16.461946
"Ceropegia sahyadrica var. karulensis (Punekar, Tamhankar, Lakshmin., Kumaran, Raut, S.K. Srivast. & Kavade) Kambale & S.R. Yadav",73.818923,16.54579
"Ceropegia sahyadrica var. karulensis (Punekar, Tamhankar, Lakshmin., Kumaran, Raut, S.K. Srivast. & Kavade) Kambale & S.R. Yadav",73.818757,16.524831
Ceropegia santapaui Wadhwa & Ansari,73.821687,17.096673
Ceropegia santapaui Wadhwa & Ansari,73.647919,16.804949
Ceropegia santapaui Wadhwa & Ansari,73.636289,16.756828
Ceropegia santapaui Wadhwa & Ansari,73.710461,16.752698
Ceropegia santapaui Wadhwa & Ansari,73.680932,17.408767
Ceropegia santapaui Wadhwa & Ansari,73.631876,17.446158
Ceropegia santapaui Wadhwa & Ansari,73.634604,17.436628
Ceropegia santapaui Wadhwa & Ansari,73.647089,17.4348
Ceropegia vincifolia Hook.,73.850117,15.55015
Ceropegia vincifolia Hook.,76.551526,11.056072
Ceropegia vincifolia Hook.,72.91116,19.218312
Ceropegia vincifolia Hook.,72.898649,19.202746
Ceropegia vincifolia Hook.,72.931226,19.190354
Ceropegia vincifolia Hook.,72.92593,19.267083
Ceropegia vincifolia Hook.,73.797841,17.728613
Ceropegia vincifolia Hook.,73.799006,17.677349
Ceropegia vincifolia Hook.,73.812634,17.649262
Ceropegia vincifolia Hook.,73.856215,17.630234
Ceropegia vincifolia Hook.,73.877008,17.372108
"Ceropegia andamanica Sreek., Veenak. & Prashanth",92.627646,11.701971
Ceropegia elegans Wall.,76.691912,10.940418
Ceropegia elegans Wall.,76.938276,11.392995
Ceropegia elegans Wall.,77.350117,8.689359
Ceropegia gardneri Thwaites,75.5332697,13.473659
Ceropegia gardneri Thwaites,75.515108,13.409648
Ceropegia gardneri Thwaites,75.491277,13.382671
Ceropegia gardneri Thwaites,75.491922,13.380921
Ceropegia maculata Bedd.,76.603686,10.972874
"Ceropegia manoharii Sujanapal, P.M. Salim, Anil Kumar & Sasidh.",76.075915,11.539667
Ceropegia metziana Miq.,76.58856,10.389403
Ceropegia metziana Miq.,76.378289,10.534912
Ceropegia juncea Roxb.,76.819959,14.718396
Ceropegia juncea Roxb.,79.847407,13.612644
Ceropegia juncea Roxb.,78.853627,15.719627
Ceropegia juncea Roxb.,74.786916,16.190182
Ceropegia juncea Roxb.,74.977462,15.981513
Ceropegia juncea Roxb.,76.625921,11.028879
Ceropegia juncea Roxb.,77.27811,8.922141
Ceropegia juncea Roxb.,78.771363,12.138773
"Ceropegia anantii S.R. Yadav, Sardesai & S.P. Gaikwad",73.724454,16.448567
"Ceropegia anantii S.R. Yadav, Sardesai & S.P. Gaikwad",73.824344,16.380529
"Ceropegia anantii S.R. Yadav, Sardesai & S.P. Gaikwad",73.832194,16.345227
"Ceropegia anantii S.R. Yadav, Sardesai & S.P. Gaikwad",73.844179,16.318226
"Ceropegia anantii S.R. Yadav, Sardesai & S.P. Gaikwad",73.821113,16.42707
"Ceropegia anantii S.R. Yadav, Sardesai & S.P. Gaikwad",73.813593,16.407889
"Ceropegia anantii S.R. Yadav, Sardesai & S.P. Gaikwad",73.875208,16.542337
"Ceropegia anantii S.R. Yadav, Sardesai & S.P. Gaikwad",73.880685,16.641634
"Ceropegia anjanerica Malpure, M.Y.Kamble & S.R.Yadav",73.573102,19.921022
"Ceropegia anjanerica Malpure, M.Y.Kamble & S.R.Yadav",73.575986,19.927768
Ceropegia attenuata Hook.,74.072598,14.94703
Ceropegia attenuata Hook.,73.96535,15.330045
Ceropegia attenuata Hook.,74.434093,14.487768
Ceropegia attenuata Hook.,74.507448,14.137791
Ceropegia attenuata Hook.,74.660014,13.79831
Ceropegia attenuata Hook.,74.902507,13.825571
Ceropegia attenuata Hook.,73.390889,17.233558
Ceropegia attenuata Hook.,73.372542,16.616556
Ceropegia attenuata Hook.,72.91293,19.212512
Ceropegia attenuata Hook.,72.900416,19.16224
Ceropegia attenuata Hook.,73.294054,17.011461
Ceropegia attenuata Hook.,73.141924,17.768905
Ceropegia attenuata Hook.,73.664021,17.948528
Ceropegia attenuata Hook.,73.336145,16.87059
Ceropegia attenuata Hook.,73.42319,17.1429565
Ceropegia attenuata Hook.,72.899155,19.206209
"Ceropegia concanensis Kambale, Chandore & S.R. Yadav",73.620522,15.875233
"Ceropegia concanensis Kambale, Chandore & S.R. Yadav",74.17953,15.790967
Ceropegia fimbriifera Bedd.,77.680576,13.371188
Ceropegia fimbriifera Bedd.,76.524041,11.068467
Ceropegia fimbriifera Bedd.,76.765867,11.499759
Ceropegia fimbriifera Bedd.,74.225458,15.699656
Ceropegia fimbriifera Bedd.,73.547541,16.333695
Ceropegia fimbriifera Bedd.,73.793339,17.743075
Ceropegia fimbriifera Bedd.,73.807421,17.927902
Ceropegia fimbriifera Bedd.,74.020337,15.914693
Ceropegia mahabalei Hemadri & M.Y.Ansari,74.416364,18.925611
"Ceropegia mohanramii S.R. Yadav, M.N. Gavade & Sardesai",73.552188,15.958802
"Ceropegia nampyana Manudev, Kambale & Pramod",75.838611,11.224222
